Rho,Ux,Uy,Uz,Bx,By,Bz,P,Jx,Jy,Jz,U_total,B_total,X,Y
79,15.49173,-361.2012,13.34916,-91.26778,-2.346067,-0.1562767,0.1720913,0.3085077,-1.329305e-05,-0.0004317289,1.39836e-05,372.79258927756865,2.3575555541678295,-18.0,-21.3125
80,16.93228,-359.6222,13.33378,-96.27306,-1.65895,-0.1277846,0.5160355,0.3366801,-1.047758e-05,-0.0003475796,1.169037e-05,372.52438645502394,1.7420495526124995,-17.0,-21.3125
81,18.45979,-357.34,13.24816,-101.514,-1.109562,-0.09632734,0.819088,0.3693987,-7.553338e-06,-0.0002676304,1.011736e-05,371.7155922736973,1.3825020578716964,-16.0,-21.3125
82,20.06034,-354.7193,13.12029,-106.915,-0.671623,-0.06416739,1.076442,0.4068001,-5.139699e-06,-0.0001988974,8.75888e-06,370.71382632318165,1.2704024116131125,-15.0,-21.3125
83,21.71486,-351.8938,12.96819,-112.4546,-0.3292261,-0.03575895,1.298845,0.4487688,-3.78138e-06,-0.0001454257,7.161654e-06,369.65315836805195,1.3403980235181312,-14.0,-21.3125
84,23.436,-348.9105,12.80358,-118.1241,-0.07395157,-0.01528526,1.497065,0.4959563,-3.5746e-06,-0.0001052691,5.341058e-06,368.5861794368807,1.4989683412613266,-13.0,-21.3125
85,25.26579,-345.6679,12.63927,-123.9621,0.1079799,-0.005487875,1.670988,0.5493907,-4.011264e-06,-7.397595e-05,3.227769e-06,367.4406761273891,1.6744822100339034,-12.0,-21.3125
86,27.29189,-341.947,12.48374,-130.1093,0.2294122,-0.01031938,1.803604,0.6112947,-4.529062e-06,-4.627977e-05,4.565342e-07,366.0765282285626,1.8181649638931072,-11.0,-21.3125
87,29.62,-337.4871,12.33611,-136.7493,0.2820323,-0.03774846,1.856721,0.6850432,-5.323951e-06,-1.439534e-05,-3.770803e-06,364.34886211820685,1.8783982634991605,-10.0,-21.3125
88,32.26089,-332.287,12.20158,-143.7661,0.2048699,-0.1009798,1.789335,0.7719987,-7.544294e-06,2.986557e-05,-1.033414e-05,362.2598796895764,1.8038537463328477,-9.0,-21.3125
89,34.92965,-327.094,12.10395,-150.3515,-0.1189807,-0.2155827,1.598311,0.8627443,-1.178954e-05,8.99306e-05,-1.897324e-05,360.1979511238959,1.617167387821304,-8.0,-21.3125
90,37.02178,-323.3173,12.13022,-154.9526,-0.7903105,-0.391701,1.334379,0.9340319,-1.552136e-05,0.000143927,-2.674171e-05,358.7360129165991,1.5995585876898195,-7.0,-21.3125
91,38.14784,-322.4526,12.54102,-155.6466,-1.657878,-0.6072051,1.067977,0.9676552,-1.309393e-05,0.000142135,-2.778547e-05,358.27199237584904,2.0634515668847206,-6.0,-21.3125
92,37.57475,-326.7079,13.9115,-150.399,-2.317103,-0.7942045,0.8678779,0.9274096,-3.519023e-06,7.691079e-05,-1.911875e-05,359.93255056421333,2.598641789423402,-5.0,-21.3125
93,33.59434,-343.5078,17.06377,-130.2181,-2.534723,-0.886822,0.8089265,0.7397069,9.719801e-06,-4.353267e-06,-3.575298e-09,367.7574397276864,2.8045741261045767,-4.0,-21.3125
94,25.50646,-378.4998,21.78869,-85.50323,-2.372793,-0.7920572,0.9695735,0.4084063,2.843927e-05,-5.86374e-05,2.244147e-05,388.6484889361967,2.682829476657637,-3.0,-21.3125
95,17.3923,-415.6109,25.93963,-36.35658,-2.069466,-0.5463866,1.226547,0.1297755,2.977745e-05,-5.25209e-05,2.686337e-05,418.0036907883031,2.4669100885570514,-2.0,-21.3125
